# Snapshot: OSRS Wiki Quests/List, 2026-09-05
# name<TAB>difficulty
The Ides of Milk	Novice
Learning the Ropes	Novice
Below Ice Mountain	Novice
X Marks the Spot	Novice
The Corsair Curse	Intermediate
Misthalin Mystery	Novice
Rune Mysteries	Novice
Dragon Slayer I	Experienced
Pirate's Treasure	Novice
Goblin Diplomacy	Novice
The Knight's Sword	Intermediate
Witch's Potion	Novice
Black Knights' Fortress	Intermediate
Doric's Quest	Novice
Prince Ali Rescue	Novice
Imp Catcher	Novice
Vampyre Slayer	Intermediate
Ernest the Chicken	Novice
The Restless Ghost	Novice
Sheep Shearer	Novice
Shield of Arrav	Novice
Demon Slayer	Novice
Romeo & Juliet	Novice
Cook's Assistant	Novice
Druidic Ritual	Novice
Lost City	Intermediate
Witch's House	Intermediate
Merlin's Crystal	Intermediate
Heroes' Quest	Experienced
Scorpion Catcher	Intermediate
Family Crest	Experienced
Fishing Contest	Novice
Tribal Totem	Intermediate
Monk's Friend	Novice
Temple of Ikov	Intermediate
Clock Tower	Novice
Holy Grail	Intermediate
Tree Gnome Village	Intermediate
Fight Arena	Intermediate
Hazeel Cult	Novice
Sheep Herder	Novice
Plague City	Novice
Sea Slug	Intermediate
Waterfall Quest	Intermediate
Jungle Potion	Novice
The Grand Tree	Intermediate
Underground Pass	Experienced
Observatory Quest	Intermediate
The Tourist Trap	Intermediate
Watchtower	Intermediate
Dwarf Cannon	Novice
Murder Mystery	Novice
The Dig Site	Intermediate
Gertrude's Cat	Novice
Legends' Quest	Master
Death Plateau	Novice
Eadgar's Ruse	Intermediate
Big Chompy Bird Hunting	Intermediate
Elemental Workshop I	Novice
Nature Spirit	Intermediate
Priest in Peril	Novice
Regicide	Experienced
Tai Bwo Wannai Trio	Intermediate
Troll Stronghold	Intermediate
Shades of Mort'ton	Intermediate
The Fremennik Trials	Intermediate
Horror from the Deep	Intermediate
Throne of Miscellania	Experienced
Monkey Madness I	Master
Haunted Mine	Experienced
Troll Romance	Intermediate
In Search of the Myreque	Intermediate
Creature of Fenkenstrain	Intermediate
Roving Elves	Experienced
Ghosts Ahoy	Intermediate
One Small Favour	Experienced
Mountain Daughter	Intermediate
Between a Rock...	Experienced
The Feud	Intermediate
The Golem	Intermediate
Desert Treasure I	Master
Icthlarin's Little Helper	Intermediate
Tears of Guthix	Intermediate
The Lost Tribe	Intermediate
The Giant Dwarf	Intermediate
Recruitment Drive	Novice
Mourning's End Part I	Master
Forgettable Tale...	Intermediate
Garden of Tranquillity	Intermediate
A Tail of Two Cats	Intermediate
Wanted!	Intermediate
Mourning's End Part II	Master
Rum Deal	Experienced
Shadow of the Storm	Intermediate
Making History	Intermediate
Ratcatchers	Intermediate
Spirits of the Elid	Intermediate
Devious Minds	Experienced
The Hand in the Sand	Intermediate
Enakhra's Lament	Experienced
Cabin Fever	Experienced
Fairytale I - Growing Pains	Intermediate
Recipe for Disaster	Special
In Aid of the Myreque	Intermediate
A Soul's Bane	Intermediate
Rag and Bone Man I	Novice
Swan Song	Master
Royal Trouble	Experienced
Death to the Dorgeshuun	Intermediate
Fairytale II - Cure a Queen	Experienced
Lunar Diplomacy	Experienced
The Eyes of Glouphrie	Intermediate
Darkness of Hallowvale	Experienced
The Slug Menace	Intermediate
Elemental Workshop II	Intermediate
My Arm's Big Adventure	Experienced
Enlightened Journey	Intermediate
Eagles' Peak	Novice
Animal Magnetism	Intermediate
Contact!	Experienced
Cold War	Intermediate
The Fremennik Isles	Experienced
The Great Brain Robbery	Experienced
What Lies Below	Intermediate
Olaf's Quest	Intermediate
Another Slice of H.A.M.	Intermediate
Dream Mentor	Master
Grim Tales	Master
King's Ransom	Experienced
Shilo Village	Intermediate
Biohazard	Novice
Tower of Life	Novice
Rag and Bone Man II	Experienced
Land of the Goblins	Experienced
While Guthix Sleeps	Grandmaster
Zogre Flesh Eaters	Intermediate
Monkey Madness II	Grandmaster
Client of Kourend	Novice
The Queen of Thieves	Intermediate
Bone Voyage	Intermediate
Dragon Slayer II	Grandmaster
The Depths of Despair	Intermediate
Recipe for Disaster/Another Cook's Quest	Special
Recipe for Disaster/Freeing the Goblin generals	Special
Recipe for Disaster/Freeing the Mountain Dwarf	Special
Recipe for Disaster/Freeing Evil Dave	Special
Recipe for Disaster/Freeing Pirate Pete	Special
Recipe for Disaster/Freeing the Lumbridge Guide	Special
Recipe for Disaster/Freeing Sir Amik Varze	Special
Recipe for Disaster/Freeing King Awowogei	Special
Recipe for Disaster/Freeing Skrach Uglogwee	Special
A Taste of Hope	Experienced
Tale of the Righteous	Intermediate
Making Friends with My Arm	Master
Recipe for Disaster/Defeating the Culinaromancer	Special
Song of the Elves	Grandmaster
The Ascent of Arceuus	Intermediate
The Forsaken Tower	Intermediate
The Fremennik Exiles	Master
